Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
vvdortddp,"

received from: aksthyuhath.shettythruy@company.com

hi,

please reset the password of mr. pradtheyp and share the new password to his manager mr. navbrtheen gogtr <utoegyqx.lhosidqg@gmail.com>.

emp no

name

useid

manager

20284583

yaxmwdth xsfgitmq

vvdortddp

navbrtheen gogtr



with ",badnzyue nxuqmdwl,GRP_0,en,vvdortddp aksthyuhath shettythruy reset password mr pradtheyp share new manager navbrtheen gogtr emp nonameuseidmanageryaxmwdth xsfgitmqvvdortddpnavbrtheen gogtrwith,165,16,9.375,16,vvdortddp aksthyuhath shettythruy reset password mr pradtheyp share new manager navbrtheen gogtr emp nonameuseidmanageryaxmwdth xsfgitmqvvdortddpnavbrtheen gogtrwith
no acces to the network with pc ewewx200257 in departement qa,no acces to the network with pc 200257 in departement qa. tha access is urgent necessary for hardness measuring software. yevirgnl ylhogjct and ughzilfm cfibdamq are the responsible person,lpfzasmv cleoprzq,GRP_24,en,acces network pc departement qa tha access urgent necessary hardness measuring software yevirgnl ylhogjct ughzilfm cfibdamq responsible person,142,18,6.944444444444445,18,acces network pc departement qa tha access urgent necessary hardness measuring software yevirgnl ylhogjct ughzilfm cfibdamq responsible person
\\HostName_29\kt-transition\applications\portal-pi-java-web\pi_training : full access : guprgttas1,\\HostName_29\kt-transition\applications\portal-pi-java-web\pi_training : full access : guprgttas1,ungoxpdc hmxwuyog,GRP_12,en,kt transition application portal pi java web training full access,65,10,5.6,10,kt transition application portal pi java web training full access
manually constructed have 3 new numbers in the mm01 (mm 7302314/6291204/7302316). if i want to extend the material maste,"manually constructed have 3 new numbers in the mm01 (mm 7302314/6291204/7302316). if i want to extend the rqfhiong zkwfqagb, the system does not find any iso / ansi code. when i use the code manually night rage comes the message ""ansi catalog and grades already used by material""

please check attachment.",rugphfdi trlshejc,GRP_29,en,manually constructed new number mm want extend material maste rqfong zkwfqagb system find iso ansi code use night rage come message catalog grade already used check attachment,175,27,5.518518518518518,27,manually constructed new number mm want extend material maste rqfong zkwfqagb system find iso ansi code use night rage come message catalog grade already used check attachment
aufstellung ordnerzugriff ,"

received from: wtxvqngf.nxjivlmr@gmail.com

sehr geehrte damen und herren,

ich bin share-owner des laufwerks departments\betriebsrat im werk germany
und benÃ¶tige eine Ã¼bersicht, wer alles zugriff auf den oben stehenden ordner hat.

bitte lassen sie mir diese aufstellung unmittelbar zukommen.


mit freundlichen grÃ¼ÃŸen,
wtxvqngf nxjivlmr

betriebsratsvorsitzender
company produktions gmbh & co. kg
altweiherstraÃŸe 27-31

company produktions gmbh & co. kg
geschÃ¤ftsfÃ¼hrer: phvkowml azbtkqwx, naruedlk mpvhakdq




diese mitteilung ist einzig und allein fÃ¼r die nutzung durch den adressaten bestimmt und kann informationen enthalten, die schutzwÃ¼rdig, vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind. die verbreitung, verteilung oder vervielfÃ¤ltigung dieser mitteilung durch personen, bei denen es sich nicht um die beabsichtigten empfÃ¤nger handelt, ist streng verboten. wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist, dann benachrichtigen sie bitte den absender und lÃ¶schen sie diese mitteilung.
[#+company/posts>  [
select the following link to view the disclaimer in an alternate language. ",wtxvqngf nxjivlmr,GRP_34,de,aufstellung ordnerzugriff sehr geehrte damen und herr ich bin share owner de laufwerks department betriebsrat im werk germanyund benötige eine übersicht wer alles zugriff auf den oben stehenden ordner hat bitte lassen sie mir diese unmittelbar zukommen mit freundlichen grüßen betriebsratsvorsitzendercompany produktions gmbh co kgaltweiherstraße company kggeschäftsführer phvkowml azbtkqwx naruedlk mpvhakdqdiese mitteilung ist einzig allein für die nutzung durch adressaten immt kann informationen enthalten schutzwürdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind verbreitung verteilung vervielfältigung dieser personen bei denen e sich nicht um beabsichtigten empfänger handelt streng verboten wenn aufgrund eines versehens ihnen eingegangen dann benachrichtigen absender löschen post,819,102,7.03921568627451,102,aufstellung ordnerzugriff sehr geehrte damen und herr ich bin share owner de laufwerks department betriebsrat im werk germanyund benötige eine übersicht wer alles zugriff auf den oben stehenden ordner hat bitte lassen sie mir diese unmittelbar zukommen mit freundlichen grüßen betriebsratsvorsitzendercompany produktions gmbh co kgaltweiherstraße company kggeschäftsführer phvkowml azbtkqwx naruedlk mpvhakdqdiese mitteilung ist einzig allein für die nutzung durch adressaten immt kann informationen enthalten schutzwürdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind verbreitung verteilung vervielfältigung dieser personen bei denen e sich nicht um beabsichtigten empfänger handelt streng verboten wenn aufgrund eines versehens ihnen eingegangen dann benachrichtigen absender löschen post
stamping of timings in EU_tool is not working,"pulvermetalogy ee01
staeberoth fertigung ee02
sk hartbearbeitung ee03

user cannot stamp in & out time in EU_tool.

data is not transferred to erp from yesterday. he does not know which employee was present yesterday and who was absent.",mstnjfai xcobykhl,GRP_25,en,stamping timing eu tool working pulvermetalogy staeberoth fertigung sk hartbearbeitung user cannot stamp time data transferred erp yesterday know wch employee present absent,173,23,6.565217391304348,23,stamping timing eu tool working pulvermetalogy staeberoth fertigung sk hartbearbeitung user cannot stamp time data transferred erp yesterday know wch employee present absent
issue with erp SID_1 ,"issue with erp SID_1 
page is not loading",djpwfxzt cfkwxlmq,GRP_0,en,issue erp page loading,22,4,4.75,4,issue erp page loading
outlook email access for felix zhang ; mobile device activation :; personal device. ,"

received from: kbclinop.vsczklfp@gmail.com

hi,
please usa outlook access (email and calendar) for below staff on his iphone.

avmeocnk.mvycfwka@gmail.com<mailto:avmeocnk.mvycfwka@gmail.com>
dept:  r&d

",kbclinop vsczklfp,GRP_0,en,outlook email access felix zhang mobile device activation personal usa calendar staff iphone dept r,99,15,5.666666666666667,15,outlook email access felix zhang mobile device activation personal usa calendar staff iphone dept r
error on ddeihrsh sigrtyhdeo's laptop ,"

received from: kbclinop.vsczklfp@gmail.com

hi,
dibesh's laptop cannot boot up, need to resolve the issue.

",kbclinop vsczklfp,GRP_19,en,error ddeihrsh sigrtyhdeo laptop dibesh cannot boot need resolve issue,70,10,6.1,10,error ddeihrsh sigrtyhdeo laptop dibesh cannot boot need resolve issue
material issue,"

received from: wktesmbp.lorjymef@gmail.com

dear teamï¼Œ
we once shipped a subcontract order on jul 21th,
po#5616690206
rough material#2224208*10pcs
movement type:541
but its corresponding end product mm#6004236 still exists in erp,pls. help to check the root cause,thx!
[cid:image002.png@01d1ff9f.c823SID_310]
[cid:image001.png@01d1ffa0.05272471]


b.rgds
judthtihty.zhuyhts
company hardpoint apac-wgq dc

",wktesmbp lorjymef,GRP_29,en,material issue dear team spped subcontract order jul po rough movement type corresponding end product mm still exists erp pls help check root cause thx b rgdsjudthtihty zhuyhtscompany hardpoint apac wgq dc,205,32,5.4375,32,material issue dear team spped subcontract order jul po rough movement type corresponding end product mm still exists erp pls help check root cause thx b rgdsjudthtihty zhuyhtscompany hardpoint apac wgq dc
tablet - dell 7350 - ç”µè„‘å¼€æœºå¯åŠ¨è“å±,"please provide details of the issue.
ç”µè„‘å¼€æœºå¯åŠ¨è“å±",rbkvofgu jthclzow,GRP_31,en,tablet dell 电脑开机启动蓝屏 provide detail issue,41,6,6.0,6,tablet dell 电脑开机启动蓝屏 provide detail issue
can not post dn# 9169142692 due to batch issue,"

received from: wktesmbp.lorjymef@gmail.com

dear team,
pls. help to check return delivery#9169142692ï½ž
it's required to enter batch but we can not key in anything in the blank
[cid:image001.png@01d1ffa6.a718f620]

[cid:image002.png@01d1ffa7.0ff104d0]
b.rgds
judthtihty.zhuyhts
company hardpoint apac-wgq dc
",wktesmbp lorjymef,GRP_18,en,post dn due batch issue dear team pls help check return deli havery required enter key anytng blank b rgdsjudthtihty zhuyhtscompany hardpoint apac wgq dc,153,25,5.16,25,post dn due batch issue dear team pls help check return deli havery required enter key anytng blank b rgdsjudthtihty zhuyhtscompany hardpoint apac wgq dc
laptop doesn't access with network ,laptop doesn't access with network ,zjwecphr swhkzyfq,GRP_31,en,laptop access network,21,3,6.333333333333333,3,laptop access network
vpn login issue : account lock out ,vpn login issue : account lock out,vfoyenlw ntpbdeyf,GRP_0,en,vpn login issue account lock,28,5,4.8,5,vpn login issue account lock
mobile device activation : company provided ,mobile device activation : company provided ,ckwfvyda saunmgqt,GRP_0,en,mobile device activation company provided,41,5,7.4,5,mobile device activation company provided
sql error 2048 in SID_1 erp system,there are are more than 15+ dumps in st22 with sql error 2048 ,vradzimk xvmcoskl,GRP_14,en,sql error erp system dump,25,5,4.2,5,sql error erp system dump
cartridge id02,printer cartridge replacement on the printer ,ipqgrnxk acxedqjm,GRP_19,en,cartridge printer replacement,29,3,9.0,3,cartridge printer replacement
ie not launching ,"ie not launching 

tried opening in safe mode, no go
reset , no go
tried disabling ie windows features, failed to disable.
reboot system.
it worked fine.
 ",spxqmiry zpwgoqju,GRP_0,en,ie launcng tried opening safe mode goreset gotried disabling window feature failed disable reboot system worked fine,116,17,5.882352941176471,17,ie launcng tried opening safe mode goreset gotried disabling window feature failed disable reboot system worked fine
ad account lock out and password reset through password_management_tool password manager.,ad account lock out and password reset through password_management_tool password manager.,hotwlygp afukzhnm,GRP_0,en,ad account lock password reset management tool manager,54,8,5.875,8,ad account lock password reset management tool manager
delete of history/ cache in seocompanyxv syxewkji <seocompanyxv.syxewkji@gmail.com> for ess uacyltoe hxgayczeing,"delete of history/ cache in seocompanyxv syxewkji <seocompanyxv.syxewkji@gmail.com> for ess uacyltoe hxgayczeing

",sholvcmf bjtpomrl,GRP_19,en,delete story cache seocompanyxv syxewkji es uacyltoe hxgayczeing,64,8,7.125,8,delete story cache seocompanyxv syxewkji es uacyltoe hxgayczeing
defekt kopierer k 13,kopierer ausbildungswerkstatt k 13 defekt. fehlermeldung: einzug fehlerhaft servicedienst notwendig,tgpvrbyi ztdxwpcn,GRP_42,de,defekt kopierer k ausbildungswerkstatt fehlermeldung einzug fehlerhaft servicedienst notwendig,94,9,9.555555555555555,9,defekt kopierer k ausbildungswerkstatt fehlermeldung einzug fehlerhaft servicedienst notwendig
ad account locked out ,"ad account locked out 
:520056771751
summary:i am locked out of my computer.
",isbczxtu gvxureqa,GRP_0,en,ad account locked computer,26,4,5.75,4,ad account locked computer
skype issue : unable to make or receive calls in skype,unable to make or receive calls in skype. most of the times the warehouse_tool thru hehr_toolhones is not audible but can be heard thru speake,aiprzulo lzvmgqwy,GRP_0,en,skype issue unable make recei call time warehouse tool thru hehr toolhones audible heard speake,95,15,5.4,15,skype issue unable make recei call time warehouse tool thru hehr toolhones audible heard speake
r101 drucker defekt,r101 drucker defekt,mhvbnqri sacvgzxf,GRP_33,de,drucker defekt,14,2,6.5,2,drucker defekt
job Job_3028 failed in job_scheduler at: 08/26/2016 00:02:00  ,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/26/2016 00:02:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_3028 failed in job_scheduler at: 08/26/2016 00:02:00  ,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/26/2016 00:02:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
"in the inbox always show there are several emails which has not been read , but i had already ",+86  ,mqbxwpfn uclrqfxa,GRP_0,en,inbox always show several email wch read already,48,8,5.125,8,inbox always show several email wch read already
job failed : ( there is no datasource with these attributes ) please check attachment,job failed : ( there is no datasource with these attributes )  please check attachment,cubdsrml znewqgop,GRP_20,en,job failed datasource attribute check attachment,48,6,7.166666666666667,6,job failed datasource attribute check attachment
account lock out issue ,account lock out issue ,hzetqwba tmsbnfkh,GRP_0,en,account lock issue,18,3,5.333333333333333,3,account lock issue
general query about rdp : ,"44
user wanted to report about some one working on his system without his awareness.
checked with changes happened in computer, it was erp went back to default settings.
checked in programdntys and features , it was erp patch installed during that time.
appreciated user and asked to inform if he sees this activity again.",rxyopuha svfqmncl,GRP_0,en,general query rdp user wanted report one working system without awareness checked change happened computer erp went back default setting programdntys feature patch installed time appreciated asked inform see t activity,218,31,6.064516129032258,31,general query rdp user wanted report one working system without awareness checked change happened computer erp went back default setting programdntys feature patch installed time appreciated asked inform see t activity
could not setup notification list in dvw system: warning ora-02291.,"user name: yinnrty
user id: 11333657100
system: dvw
contact phone: 
error message:ora-02291: integrity constraint (gdwowner.fk_sbscrptn_tblusers) violated - parent key not found 
----------------------------------------
production specifications:Â 
application serverÂ :lhqSID_1854
database serverÂ / name:oracle gdwp

",cysbkonu mzutvwir,GRP_25,en,could setup notification list dvw system warning os user yinnrtyuser id dvwcontact phone error message integrity constraint gdwowner fk sbscrptn tblusers violated parent key found production specification application server database oracle gdwp,244,32,6.65625,32,could setup notification list dvw system warning os user yinnrtyuser id dvwcontact phone error message integrity constraint gdwowner fk sbscrptn tblusers violated parent key found production specification application server database oracle gdwp
account lock out issue ,"account lock out issue 
remote into user computer and removed all old password.
cleared temp and prefetch file.
signed in to outlook and checked with skype.
ran lock out status and informed user to update password in all mobile device.

",ihlguasz agnwcqiz,GRP_0,en,account lock issue remote user computer removed old password cleared temp prefetch file signed outlook checked skype ran status informed update mobile device,157,23,5.869565217391305,23,account lock issue remote user computer removed old password cleared temp prefetch file signed outlook checked skype ran status informed update mobile device
job Job_3028 failed in job_scheduler at: 08/25/2016 22:02:00  ,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/25/2016 22:02:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job Job_3028 failed in job_scheduler at: 08/25/2016 22:02:00  ,"received from: monitoring_tool@company.com

job Job_3028 failed in job_scheduler at: 08/25/2016 22:02:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
ksem / m36 / ewkw8113117 / rechner startet nicht,"bios einstellen, das rechner bei netz-reset selbststÃ¤ndig startet.
bitte um erledigung durch m. himghtmelreich",zxopwyak zrbfkimx,GRP_33,de,ksem rechner startet nicht bios einstellen da bei netz reset selbstständig bitte um erledigung durch mghtmelreich,113,16,6.125,16,ksem rechner startet nicht bios einstellen da bei netz reset selbstständig bitte um erledigung durch mghtmelreich
unable to print from erp,unable to print from erp,bkyphsgq cfyksehu,GRP_0,no,unable print erp,16,3,4.666666666666667,3,unable print erp
circuit outage: india telecom_vendor_1 40 & 20 mbps circuits are down at 4:33 pm et on 08/25. site is up on telecom_vendor_3 circuit .,"what type of outage:  _____network     __x__circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____yes____     (yes/no/na) 

2. when did it start  ?   ______4:33 pm et on 08/25_______________

3.  scheduled maintenance ( power) ?    no    yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

4.  scheduled maintenance ( network) ? __no_____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   ___yes_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _____na____     (yes/no/na) 

8. remote dial-in ?   _______na____   (yes/no/na) 

9. equipment reset ?    _______na____    (yes/no/na) 

10. verified site working on backup circuit ?  ____yes___     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",rkupnshb gsmzfojw,GRP_8,en,circuit outage india mbps circuit pm et site type network x power specify top cert yes na start scheduled maintenance company maint provider ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics,283,42,5.761904761904762,41,circuit outage india mbps circuit pm et site type network x power specify top cert yes na start scheduled maintenance company maint provider ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics
job pp_EU_tool_netch_ap1 failed in job_scheduler at: 08/25/2016 16:14:00  ,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_ap1 failed in job_scheduler at: 08/25/2016 16:14:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job pp_EU_tool_netch_ap1 failed in job_scheduler at: 08/25/2016 16:14:00  ,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_ap1 failed in job_scheduler at: 08/25/2016 16:14:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
"network outage : usa warehouse, vpn circuit is down at 3:16 pm et on 08/25. site is up on primary.","what type of outage:  _____network     ___x__circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___yes______     (yes/no/na) 

2. when did it start  ?   _______3:16 pm et on 08/25.______________

3.  scheduled maintenance ( power) ? _____no__    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   ___yes_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ____yes___     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",rkupnshb gsmzfojw,GRP_4,en,network outage usa warehouse vpn circuit pm et site primary type x power specify top cert yes na start scheduled maintenance company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics,290,43,5.767441860465116,43,network outage usa warehouse vpn circuit pm et site primary type x power specify top cert yes na start scheduled maintenance company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics
unable to connect to the printers dv07 and dv28. also need help to connect scanner,"unable to connect to the printers dv07 and dv28. i also need help with the scanner, i tried to download the driver from the fujitsu website but when i tried to run it i need to have administrator access???",eocvkuxw eqfsphnd,GRP_3,en,unable connect printer also need help scanner tried download dri haver fujitsu website run administrator access,111,16,6.0,16,unable connect printer also need help scanner tried download dri haver fujitsu website run administrator access
latpop will not startup without ac power cord connected so suspect a bad battery?,latpop will not startup without ac power cord connected so suspect a bad battery?,kaguhxwo uoyipxqg,GRP_3,en,latpop startup without ac power cord connected suspect bad battery,66,10,5.7,10,latpop startup without ac power cord connected suspect bad battery
"circuit outage: usa , vpn circuit is down at 2:42 pm et on 08/25. circuit is up on primary.","what type of outage:  _____network     __x___circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    __slo site_______     (yes/no/na) 

2. when did it start  ?   __________2:42 pm et on 08/25___________

3.  scheduled maintenance ( power) ? ____na___    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___na____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   __yes______     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ______na_____   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ____yes___     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",rkupnshb gsmzfojw,GRP_8,en,circuit outage usa vpn pm et primary type network x power specify top cert site slo yes na start scheduled maintenance company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics,284,43,5.627906976744186,43,circuit outage usa vpn pm et primary type network x power specify top cert site slo yes na start scheduled maintenance company provider maint ticket backup acti contact notified phone email remote dial equipment reset verified working vendor verizon gsc started additional diagnostics
unable to log in to erp SID_34,unable to log in to erp SID_34,jfgepoay qsbjaemc,GRP_0,it,unable log erp,14,3,4.0,3,unable log erp
unable to log in to erp SID_34,unable to log in to erp SID_34,ebxrlknc txnvwupy,GRP_0,it,unable log erp,14,3,4.0,3,unable log erp
intermittent internet connection,intermittent internet connection,qscdktvl rihendxu,GRP_0,fr,intermittent internet connection,32,3,10.0,3,intermittent internet connection
delivery notes from other users coming to the printer,delivery notes from other users coming to the printer,rtpmlwnk unpambrv,GRP_18,en,deli havery note user coming printer,36,6,5.166666666666667,6,deli havery note user coming printer
system slow on start up ,system slow on start up ,yhzdtkla ncobgtdm,GRP_0,en,system slow start,17,3,5.0,3,system slow start
check router wifi - site: south_amerirtca - sp - sÃ£o bernardo campo (mercedes benz),"hi team, please check the router wifi the site company -south_amerirtca - sÃ£o pollaurido / sÃ£o bernardo campo. no is possible connect network wifi - companysecure, this network no is visible to users local. if you need connect remotely or has more doubts please, return me.. ",qasdhyzm yuglsrwx,GRP_4,en,check router wifi site south amerirtca sp são bernardo campo mercedes benz company pollaurido possible connect network companysecure t visible user local need remotely doubt return,180,26,5.961538461538462,26,check router wifi site south amerirtca sp são bernardo campo mercedes benz company pollaurido possible connect network companysecure t visible user local need remotely doubt return
usa print,usa print issue,rdfjsawg zpmxgdcw,GRP_15,ca,usa print issue,15,3,4.333333333333333,3,usa print issue
sign-on is not working,"name:mikhghytr karaffa
language:
browser:microsoft internet explorer
email:vfrdxtqw.jfbmsenz@gmail.com
customer number:
telephone:
summary:hello, my single sign-on is not working",vfrdxtqw jfbmsenz,GRP_0,en,sign working mikhghytr karaffabrowser microsoft internet explorer single,72,8,8.125,8,sign working mikhghytr karaffabrowser microsoft internet explorer single
pc probleme urgent,"

received from: eluvxqhw.gpbfkqeu@gmail.com

hallo ,

folgende funktionen und programdntyme laufen nicht mehr.


Â·       weekly report lÃ¤ÃŸt sich nicht Ã¼bertragen, meldet falscher serverpfad.


Â·       collaboration_platform findet die biblotheken nicht mehr.


Â·       keine synchronisation mit collaboration_platform mehr.


Â·       lte verbindung nicht mÃ¶glich.

mit freundlichen grÃ¼ÃŸen

eluvxqhw gpbfkqeu
anwendungstechnik/ application engineer
transportation central europe

e-mail: eluvxqhw.gpbfkqeu@gmail.com<mailto:eluvxqhw.gpbfkqeu@gmail.com>

company deutschland gmbh www.company.com<
geschÃ¤ftsfÃ¼hrer: rfwlsoej yvtjzkaw, phvkowml azbtkqwx , naruedlk mpvhakdq

diese mitteilung ist einzig und allein fÃ¼r die nutzung durch den adressaten bestimmt und kann informationen enthalten, die schutzwÃ¼rdig, vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind. die verbreitung, verteilung oder vervielfÃ¤ltigung dieser mitteilung durch personen, bei denen es sich nicht um die beabsichtigten empfÃ¤nger handelt, ist streng verboten. wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist, dann benachrichtigen sie bitte den absender und lÃ¶schen sie diese mitteilung.
[#+company/posts>  [
select the following link to view the disclaimer in an alternate language. ",eluvxqhw gpbfkqeu,GRP_0,de,pc probleme urgent folgende funktionen und programdntyme laufen nicht mehr · weekly report läßt sich übertragen meldet falscher serverpfad collaboration platform findet die biblotheken keine synchronisation mit lte verbindung möglich freundlichen grüßenanwendungstechnik application engineertransportation central europee mail company deutschland gmbh geschäftsführer rfwlsoej yvtjzkaw phvkowml azbtkqwx naruedlk mpvhakdqdiese mitteilung ist einzig allein für nutzung durch den adressaten immt kann informationen enthalten schutzwürdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind verbreitung verteilung vervielfältigung dieser personen bei denen e um beabsichtigten empfänger handelt streng verboten wenn diese aufgrund eines versehens ihnen eingegangen dann benachrichtigen sie bitte absender löschen post,837,99,7.4646464646464645,99,pc probleme urgent folgende funktionen und programdntyme laufen nicht mehr weekly report läßt sich übertragen meldet falscher serverpfad collaboration platform findet die biblotheken keine synchronisation mit lte verbindung möglich freundlichen grüßenanwendungstechnik application engineertransportation central europee mail company deutschland gmbh geschäftsführer rfwlsoej yvtjzkaw phvkowml azbtkqwx naruedlk mpvhakdqdiese mitteilung ist einzig allein für nutzung durch den adressaten immt kann informationen enthalten schutzwürdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind verbreitung verteilung vervielfältigung dieser personen bei denen e um beabsichtigten empfänger handelt streng verboten wenn diese aufgrund eines versehens ihnen eingegangen dann benachrichtigen sie bitte absender löschen post
unable to load engineering tool,unable to load engineering tool,yhzdtkla ncobgtdm,GRP_0,en,unable load engineering tool,28,4,6.25,4,unable load engineering tool
infopath installation,infopath installation,lxmpfiez katjygbp,GRP_0,en,infopath installation,21,2,10.0,2,infopath installation
half the icons on my desktop are gone after a reboot and updates were applied,half the icons on my desktop are gone after a reboot and updates were applied,hitakmbs fvhmkntq,GRP_3,en,half icon desktop gone reboot update applied,44,7,5.428571428571429,7,half icon desktop gone reboot update applied
unable to get on skype audio meeting with outside vendors,unable to get on skype audio meeting with outside vendors,ejvkzobl yijgokrn,GRP_0,en,unable get skype audio meeting outside vendor,45,7,5.571428571428571,7,unable get skype audio meeting outside vendor
usa oh operators are locked out of mii and not able to scan in production and capture value add ,"usa oh operators are locked out of mii and not able to scan in production 

1) tortm hortl (howthrelte) - happened twice in one week
2) dmitazhw kxbifzoh 


",epivntxc fdrxmuga,GRP_0,en,usa oh operator locked mii able scan production capture value add tortm hortl howthrelte happened twice one week dmitazhw kxbifzoh,130,20,5.55,20,usa oh operator locked mii able scan production capture value add tortm hortl howthrelte happened twice one week dmitazhw kxbifzoh
fjtrnslb ejzkrchq // account has expired,fjtrnslb ejzkrchq // account has expired,rbozivdq gmlhrtvp,GRP_0,en,fjtrnslb ejzkrchq account expired,33,4,7.5,4,fjtrnslb ejzkrchq account expired
users in chicago wants to update bank details ,users in chicago wants to update bank details ,qftpazns fxpnytmk,GRP_0,en,user ccago want update bank detail,34,6,4.833333333333333,6,user ccago want update bank detail
bios update,bios update,jvshydix rzpmnylt,GRP_0,lt,bios update,11,2,5.0,2,bios update
i am stuck.     has 3 lines.   lines 40 and 50 have been inwarehouse_toold 0158401519.   line 60 we cannot pgi,"i am stuck.    9168335496 has 3 lines.   lines 40 and 50 have been inwarehouse_toold 0158401519.   line 60 we cannot pgi, so it has not inwarehouse_toold.  any ideas on how we can get line 60 inwarehouse_toold?

 


v  
",avkotjzx hmntobws,GRP_13,en,stuck line inwarehouse toold line cannot pgi idea get v,55,10,4.6,9,stuck line inwarehouse toold line cannot pgi idea get v
device type changes for usa,device type changes for usa,kgytujhe bonhwzrx,GRP_14,en,device type change usa,22,4,4.75,4,device type change usa
ticket update on inplant_853729,ticket update on inplant_853729,fumkcsji sarmtlhy,GRP_0,en,ticket update,13,2,6.0,2,ticket update
ticket update on inplant_853833,ticket update on inplant_853833,fumkcsji sarmtlhy,GRP_0,en,ticket update,13,2,6.0,2,ticket update
device not running dell ml6000 tape library!,"device not running dell ml6000 tape library !

backup device not running. error say ""open door"" !!!!

",yevirgnl ylhogjct,GRP_12,en,device running dell tape library backup error say open door,59,10,5.0,10,device running dell tape library backup error say open door
license inquiry about k1 license,license inquiry about k1 license,zkhmvnib sugzyvhp,GRP_0,fr,license inquiry,15,2,7.0,2,license inquiry
"adobe reader on my pc suddenly will not work, immediate crash ""adobe has stopped working""","adobe reader on my pc suddenly will not work, immediate crash ""adobe has stopped working""",pzrskcon pobsajnx,GRP_3,en,adobe reader pc suddenly work immediate crash stopped working,61,9,5.888888888888889,9,adobe reader pc suddenly work immediate crash stopped working
